HmaxDs = 2.000000
HmaxUB_percent = 1.071598
HmaxUB_real = 7783.777109
FTnetDs = 2.000000
FTnetUB_percent = 1.821676
FTnetUB_real = 35385.691965
TIFgap = 0.000000
LimCIPF = 124.5915398
SCIP version 1.1.0 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: Clp 1.8.2]
Copyright (c) 2002-2008 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

reading user parameter file </home/fabio/docs/hierarquia/models/scip.set>

read problem <data.N30.I1.s1.cluster3.T7.GL1.W1.TIFgap0.0.mps.gz>
============

original problem has 530 variables (273 bin, 0 int, 0 impl, 257 cont) and 196 constraints

solve problem
=============

presolving:
(round 1) 3 del vars, 3 del conss, 4 chg bounds, 0 chg sides, 42 chg coeffs, 0 upgd conss, 0 impls, 42 clqs
(round 2) 5 del vars, 3 del conss, 4 chg bounds, 1 chg sides, 42 chg coeffs, 0 upgd conss, 0 impls, 42 clqs
(round 3) 5 del vars, 3 del conss, 4 chg bounds, 3 chg sides, 42 chg coeffs, 0 upgd conss, 0 impls, 42 clqs
(round 4) 5 del vars, 4 del conss, 4 chg bounds, 3 chg sides, 42 chg coeffs, 43 upgd conss, 0 impls, 42 clqs
   (0.0s) probing: 101/273 (37.0%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 100/100 successive totally useless probings
presolving (5 rounds):
 5 deleted vars, 4 deleted constraints, 4 tightened bounds, 0 added holes, 3 changed sides, 42 changed coefficients
 0 implications, 42 cliques
presolved problem has 525 variables (273 bin, 0 int, 0 impl, 252 cont) and 192 constraints
      1 constraints of type <knapsack>
     42 constraints of type <setppc>
    149 constraints of type <linear>
Presolving Time: 0.03

 time | node  | left  |LP iter| mem |mdpt |frac |vars |cons |ccons|cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  0.1s|     1 |     0 |   150 |1317k|   0 |  74 | 525 | 192 | 192 | 525 | 192 |   0 |   0 |   0 | 6.451749e+01 |      --      |    Inf 
  0.4s|     1 |     0 |  1476 |1467k|   0 |  67 | 525 | 192 | 192 | 525 | 220 |  28 |   0 |   0 | 6.108131e+03 |      --      |    Inf 
  0.6s|     1 |     0 |  1728 |1564k|   0 |  65 | 525 | 192 | 192 | 525 | 249 |  57 |   0 |   0 | 9.645660e+03 |      --      |    Inf 
  0.9s|     1 |     0 |  2061 |1617k|   0 |  68 | 525 | 192 | 192 | 525 | 269 |  77 |   0 |   0 | 1.142718e+04 |      --      |    Inf 
  1.3s|     1 |     0 |  2284 |1655k|   0 |  72 | 525 | 192 | 192 | 525 | 295 | 103 |   0 |   0 | 1.169698e+04 |      --      |    Inf 
  1.7s|     1 |     0 |  2607 |1709k|   0 |  78 | 525 | 192 | 192 | 525 | 323 | 131 |   0 |   0 | 1.190696e+04 |      --      |    Inf 
  2.1s|     1 |     0 |  2848 |1750k|   0 |  80 | 525 | 192 | 192 | 525 | 345 | 153 |   0 |   0 | 1.202048e+04 |      --      |    Inf 
  2.6s|     1 |     0 |  3056 |1781k|   0 |  82 | 525 | 192 | 192 | 525 | 360 | 168 |   0 |   0 | 1.208903e+04 |      --      |    Inf 
  2.9s|     1 |     0 |  3126 |1801k|   0 |  78 | 525 | 192 | 192 | 525 | 371 | 179 |   0 |   0 | 1.209514e+04 |      --      |    Inf 
  3.2s|     1 |     0 |  3273 |1816k|   0 |  80 | 525 | 192 | 192 | 525 | 379 | 187 |   0 |   0 | 1.223501e+04 |      --      |    Inf 
  3.5s|     1 |     0 |  3322 |1828k|   0 |  81 | 525 | 192 | 192 | 525 | 385 | 193 |   0 |   0 | 1.223974e+04 |      --      |    Inf 
